index,rain,temp,,,,,,,
6/1/2022 10:10,11.2,55.86,,,,,,,
6/1/2022 10:15,11.2,55.86,,,,,,,
6/1/2022 10:20,11.2,56.01,,,,,,,
6/1/2022 10:25,11.2,56.01,,,,,,,
6/1/2022 10:30,10.6,56.01,,,,,,,
6/1/2022 10:35,10.6,56.05,,,,,,,
6/1/2022 10:40,10,56.28,,,,,,,
6/1/2022 10:45,10,56.44,,,,,,,
6/1/2022 10:50,10,56.63,,,,,,,
6/1/2022 10:55,10,56.63,,,,,,,
6/1/2022 11:00,9.4,56.71,,,,,,,
6/1/2022 11:05,10,56.82,,,,,,,
6/1/2022 11:10,10,56.94,,,,,,,
6/1/2022 11:15,9.4,57.05,,,,,,,
6/1/2022 11:20,8.8,57.28,,,,,,,
6/1/2022 11:25,8.2,57.48,,,,,,,
6/1/2022 11:30,8.8,57.56,,,,,,,
6/1/2022 11:35,8.2,57.67,,,,,,,
6/1/2022 11:40,8.2,57.36,,,,,,,
6/1/2022 11:45,8.2,57.59,,,,,,,
6/1/2022 11:50,8.2,57.9,,,,,,,
6/1/2022 11:55,7.6,57.86,,,,,,,
6/1/2022 12:00,7.6,57.71,,,,,,,
6/1/2022 12:05,7.6,57.67,,,,,,,
6/1/2022 12:10,7.6,57.67,,,,,,,
6/1/2022 12:15,7.6,57.59,,,,,,,
6/1/2022 12:20,7.6,57.9,,,,,,,
6/1/2022 12:25,7.6,57.75,,,,,,,
6/1/2022 12:30,7.6,57.56,,,,,,,
6/1/2022 12:35,7.6,57.63,,,,,,,
6/1/2022 12:40,7.6,58.06,,,,,,,
6/1/2022 12:45,7.6,58.29,,,,,,,
6/1/2022 12:50,7.1,58.64,,,,,,,
6/1/2022 12:55,7.1,58.71,,,,,,,
6/1/2022 13:00,7.1,58.91,,,,,,,
6/1/2022 13:05,7.1,58.71,,,,,,,
6/1/2022 13:10,7.1,59.29,,,,,,,
6/1/2022 13:15,7.1,59.95,,,,,,,
6/1/2022 13:20,7.1,60.18,,,,,,,
6/1/2022 13:25,7.1,59.52,,,,,,,
6/1/2022 13:30,7.1,59.56,,,,,,,
6/1/2022 13:35,6.5,59.6,,,,,,,
6/1/2022 13:40,7.1,58.98,,,,,,,
6/1/2022 13:45,6.5,59.99,,,,,,,
6/1/2022 13:50,7.1,60.18,,,,,,,
6/1/2022 13:55,6.5,60.22,,,,,,,
6/1/2022 14:00,6.5,59.95,,,,,,,
6/1/2022 14:05,6.5,60.8,,,,,,,
6/1/2022 14:10,6.5,61.69,,,,,,,
6/1/2022 14:15,6.5,61.49,,,,,,,
6/1/2022 14:20,6.5,62.77,,,,,,,
6/1/2022 14:25,6.5,62.38,,,,,,,
6/1/2022 14:30,6.5,62.19,,,,,,,
6/1/2022 14:35,6.5,61.88,,,,,,,
6/1/2022 14:40,6.5,61.3,,,,,,,
6/1/2022 14:45,6.5,61.38,,,,,,,
6/1/2022 14:50,6.5,61.72,,,,,,,
6/1/2022 14:55,6.5,62.34,,,,,,,
6/1/2022 15:00,6.5,62.23,,,,,,,
6/1/2022 15:05,6.5,62.42,,,,,,,
6/1/2022 15:10,6.5,62,,,,,,,
6/1/2022 15:15,6.5,62.03,,,,,,,
