date ,w_a,t_a,w_b,t_b,w_c,t_c
05/01/22 12:00:00 AM,4.1,53.89,0,51.07,1.2,51.92
05/01/22 12:05:00 AM,4.1,53.23,0,50.41,1.2,51.3
05/01/22 12:10:00 AM,3.5,52.92,0,50.1,1.2,50.8
05/01/22 12:15:00 AM,3.5,52.3,0,49.79,1.2,50.76
05/01/22 12:20:00 AM,4.1,52.23,0,49.49,0.6,50.33
05/01/22 12:25:00 AM,3.5,51.57,0,49.18,1.2,50.18
05/01/22 12:30:00 AM,91.1,50.95,0,49.18,0.6,49.37
05/01/22 12:35:00 AM,92.5,50.33,0,49.41,0.6,49.18
05/01/22 12:40:00 AM,90.5,51.22,0,49.37,1.2,49.06
