1h_RF,Tem
27.6,56.4
52.4,56.32
22.4,56.47
28.8,56.44
30,56.36
31.8,56.71
49.4,56.55
52.4,56.63
66,56.32
77.6,56.36
40.6,56.67
16.5,57.59
13.5,57.83
12.9,57.52
12.4,58.25
11.8,58.25
11.2,58.37
11.2,58.48
11.2,58.25
11.2,58.17
11.2,58.64
10.6,58.91
10.6,58.75
11.2,58.52
11.2,58.56
10.6,59.18
10,59.56
10,59.83
10.6,59.56
10.6,59.64
10.6,59.56
10,60.14
9.4,60.41
8.8,61.3
8.8,61.72
8.8,61.26
8.2,61.96
8.8,62.23
8.2,62.77
8.2,63.5
8.8,62.11
8.8,61.8
8.2,63.39
7.6,64.04
7.6,64.39
7.6,64.47
7.6,65.32
7.6,66.51
7.6,67.52
7.6,68.17
7.6,67.56
7.6,66.9
7.6,67.09
7.6,67.86
7.6,68.44
7.6,68.52
7.6,67.44
7.1,66.67
7.6,70.06
7.6,71.61
7.6,71.18
7.6,71.11
7.6,70.95
7.1,69.72
7.1,71.26
7.1,70.99
7.1,70.88
7.1,71.22
7.1,72.5
7.1,71.26
7.1,72.34
7.1,72.07
7.1,71.92
7.1,71.18
7.1,71.11
7.1,70.76
7.1,71.11
7.1,71.26
7.1,71.03
7.1,70.64
7.1,71.15
7.1,71.76
7.1,71.03
7.1,71.18
7.1,71.57
7.1,71.69
7.1,71.61
7.1,71.73
7.1,71.61
7.1,71.18
7.1,71.3
7.1,71.57
7.1,71.84
7.1,72.27
7.1,72.57
7.1,73.5
7.1,73.5
7.1,72.88
7.1,72.57
7.1,72.54
7.1,72.65
7.1,73.77
7.1,73.31
7.1,74.58
7.1,73.77
7.1,73.42
7.1,74.39
7.1,73.77
7.1,73.66
7.1,74
7.1,74.12
7.1,73.85
7.1,73.46
7.1,72.88
7.1,73.04
7.1,73.12
7.1,73.42
7.1,72.88
7.1,72.88
7.1,72.34
7.1,70.68
7.1,69.72
7.1,69.68
7.1,69.29
7.1,68.87
7.1,68.44
8.8,68.1
7.1,67.48
7.6,67.09
7.1,67.09
23.5,67.05
7.1,66.71
7.6,66.67
7.6,66.24
7.6,66.17
7.6,65.78
7.6,65.59
7.6,65.43
7.6,65.28
7.6,65.08
7.6,65.01
7.6,64.81
7.6,65.01
7.6,65.28
7.6,65.08
7.6,65.35
7.6,65.12
7.6,65.35
7.6,65.2
7.6,64.81
7.6,64.2
8.2,63.77
8.2,63.39
8.2,63.19
8.8,63.08
8.8,62.92
8.8,62.84
8.2,62.81
8.2,62.73
8.8,62.54
8.8,62.38
8.8,62.03
9.4,61.76
9.4,61.49
10,61.22
10,60.91
10.6,60.64
11.2,60.53
10.6,60.41
10.6,60.3
10,60.22
10,60.3
10,60.34
10.6,60.22
10.6,60.06
10.6,59.91
10,60.03
10,59.95
10,59.99
9.4,59.99
9.4,60.06
9.4,60.1
9.4,60.06
9.4,60.06
9.4,60.03
9.4,59.99
9.4,60.03
9.4,59.99
9.4,59.95
9.4,59.83
9.4,59.76
9.4,59.76
9.4,59.68
9.4,59.79
9.4,59.76
9.4,59.87
9.4,59.79
9.4,59.76
9.4,59.68
9.4,59.68
9.4,59.76
9.4,59.76
9.4,59.68
9.4,59.49
9.4,59.52
9.4,59.56
9.4,59.6
9.4,59.56
9.4,59.52
9.4,59.49
9.4,59.41
9.4,59.41
9.4,59.45
9.4,59.33
9.4,59.41
9.4,59.33
9.4,59.37
9.4,59.49
9.4,59.45
10,59.41
10,59.41
10,59.37
10,59.37
10,59.33
10,59.33
10,59.22
10,59.25
10,59.25
10,59.25
10.6,59.29
10.6,59.22
10.6,59.18
11.2,59.18
10.6,59.1
11.2,59.06
10.6,59.1
10.6,59.22
10.6,59.1
10.6,59.06
10.6,59.14
10.6,59.02
10.6,59.06
10.6,59.02
11.2,59.1
11.2,59.1
11.2,59.02
11.2,59.02
11.2,58.98
11.2,58.98
11.2,58.98
12.4,58.87
11.8,58.79
12.9,58.75
15.3,58.75
12.9,58.64
67.6,58.67
4,58.6
87.1,58.44
64.7,58.29
78.2,58.29
24.1,58.21
18.8,58.21
15.9,58.17
15.9,58.21
17.1,58.25
15.9,58.33
15.3,58.25
14.7,58.25
14.7,58.25
21.8,58.25
18.2,58.29
14.1,58.29
14.1,58.21
14.1,58.25
17.1,58.17
81.2,58.25
45,58.33
15.3,58.21
12.9,58.17
11.8,58.21
11.2,58.33
11.2,58.48
11.8,58.56
11.2,58.67
11.2,58.44
11.2,58.37
34,58.29
100,65
100,65
100,65
100,65
100,65
100,65
100,65
100,65
100,65
100,65
100,65
100,65
100,65
100,65
100,65
100,65
100,65
100,65
100,65
100,65
100,65
100,65
100,65
100,65
100,65
100,65
100,65
98,65
98,65
98,65
98,65
98,65
98,65
98,65
98,65
98,65
98,65
98,65
98,65
98,65
98,65
98,65
98,65
98,65
98,65
98,65
98,65
98,65
98,65
98,65
98,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,65
99,70
7.1,70
7.1,70
7.6,70
7.6,70
7.1,70
7.6,70
7.1,70
7.1,76.09
7.1,75.93
7.1,76.17
7.1,77.17
7.1,76.13
7.1,77.67
7.1,77.25
6.5,76.47
6.5,76.59
6.5,77.01
6.5,77.56
7.1,77.4
6.5,78.29
6.5,77.28
6.5,76.63
6.5,76.9
6.5,75.55
